wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2006,False,93.28,B,5
"Stag'S Leap Wine Cellars, Estate Cask 23 Cabernet Sauvignon, Napa Valley",129784,Napa Valley,Red,,California,Usa,,2009,False,93.12,B+,4
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2007,False,93.1,B,6
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2004,False,93.09,C+,6
"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,2009,False,93.04,B+,11
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2009,False,93.0,A,8
"Favia, Cerro Sur, Napa Valley",72715,Napa Valley,Red,,California,Usa,,2009,False,93.0,B,3
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2006,False,92.92,B,4
"Caymus Vineyards, Special Selection Cabernet Sauvignon, Napa Valley",30130,Napa Valley,Red,,California,Usa,,1999,False,92.88,C+,4
"Robert Craig Winery, Howell Mountain Cabernet Sauvignon, Napa Valley",121297,Napa Valley,Red,,California,Usa,,2009,False,92.87,B,5
"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1999,False,92.81,C,4
"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,1997,False,92.74,C+,3
"Favia, Cabernet Sauvignon, Napa Valley",72714,Napa Valley,Red,,California,Usa,,2009,False,92.73,B+,3
"Viader, Red Blend, Napa Valley",139371,Napa Valley,Red,,California,Usa,,2009,False,92.65,B,3
"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2008,False,92.62,B+,3
