,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
135,"Doubleback, Cabernet Sauvignon, Walla Walla Valley",67468,Walla Walla Valley,Red,,Washington,Usa,,2016,False,93.8,A+,3
136,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",819,Napa Valley,Red,,California,Usa,,2009,False,97.83,B,3
137,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,2009,False,95.39,B+,9
138,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1999,False,94.11,B,4
139,"Ridge Vineyards, Lytton Springs, Dry Creek Valley",120782,Dry Creek Valley,Red,,California,Usa,,2007,False,92.2,C+,3
140,"Ridge Vineyards, Geyserville Zinfandel, Alexander Valley",120777,Alexander Valley,Red,,California,Usa,,2007,False,90.5,C+,4
141,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1988,False,87.93,C,5
142,"Marimar Estate, 'La Masia' Don Miguel Vineyard Pinot Noir, Russian River Valley",101913,Russian River Valley,Red,,California,Usa,,2014,False,87.17,A+,3
143,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",125712,Napa Valley,Red,,California,Usa,,2016,False,99.43,B,3
144,"Morlet Family Vineyards, Coeur De Vallee Cabernet Sauvignon, Oakville",107391,Oakville,Red,,California,Usa,,2009,False,94.73,A+,5
145,"Morlet Family Vineyards, Mon Chevalier Cabernet Sauvignon, Knights Valley",107399,Knights Valley,Red,,California,Usa,,2009,False,94.56,B+,3
146,"Cliff Lede Vineyards, Poetry Cabernet Sauvignon, Stags Leap District",43385,Stags Leap District,Red,,California,Usa,,2009,False,93.21,B+,4
147,"Favia, 'Rompecabezas', Amador County",72712,Amador County,Red,,California,Usa,,2016,False,92.91,B+,3
148,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2013,False,95.22,B,5
149,"Silver Oak Cellars, Cabernet Sauvignon, Napa Valley",127590,Napa Valley,Red,,California,Usa,,2009,False,88.92,A,4
150,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2015,False,97.76,B,4
151,"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,2015,False,94.88,B+,3
152,"Plumpjack Winery, Syrah, Napa Valley",116695,Napa Valley,Red,,California,Usa,,2016,False,94.28,A,4
153,"Mount Veeder Winery, Cabernet Sauvignon, Napa Valley",107830,Napa Valley,Red,,California,Usa,,2015,False,91.35,B,3
154,"Girard, Napa County Cabernet Sauvignon, California",79041,California,Red,,California,Usa,,2015,False,89.76,B,3
155,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2007,False,93.89,A,8
156,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2013,False,97.16,A,6
157,"Lail Vineyards, J. Daniel Cuvee Cabernet Sauvignon, Napa Valley",93523,Napa Valley,Red,,California,Usa,,2015,False,98.26,C+,4
158,"Colgin Cellars, Ix Estate Red, Napa Valley",44620,Napa Valley,Red,,California,Usa,,2009,False,96.82,B+,6
159,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2012,False,96.68,B,7
160,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2010,False,96.46,B+,5
161,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2009,False,96.34,B+,8
162,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,2009,False,96.16,B,7
163,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2010,False,95.84,B,4
164,"Verite, La Muse, Sonoma County",139099,Sonoma County,Red,,California,Usa,,2009,False,95.66,B+,4
165,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1991,False,95.47,C+,3
166,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2009,False,95.25,C+,8
167,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2015,False,95.22,C+,4
168,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,,California,Usa,,2009,False,95.21,B,10
169,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1997,False,95.2,B,4
170,"Paul Hobbs, Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Oakville",113412,Oakville,Red,,California,Usa,,2001,False,95.19,A,4
171,"O'Shaughnessy Estate Winery, Mount Veeder Cabernet Sauvignon, Napa Valley",110039,Napa Valley,Red,,California,Usa,,2010,False,95.17,C+,3
172,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2014,False,95.05,B,6
